,parcellation_group,corrected_thickness,curvature,myelin_map,smoothed_myelin_map,sulcal_depth,thickness
27061,68,2.669987678527832,-0.03771473094820976,1.2476364374160767,1.2458622455596924,-0.4314208924770355,2.5905256271362305
27062,68,2.688842296600342,-0.027197185903787613,1.24613356590271,1.2452632188796997,-0.3816990256309509,2.622469425201416
27063,68,2.704115629196167,-0.015628522261977196,1.2429653406143188,1.2427854537963867,-0.31940603256225586,2.6508469581604004
27064,68,2.7203335762023926,0.001931566745042801,1.239992618560791,1.239504098892212,-0.24910226464271545,2.680745840072632
27065,68,2.7426645755767822,0.02137819118797779,1.2377809286117554,1.2365496158599854,-0.17510387301445007,2.7173590660095215
27066,68,2.766148328781128,0.03842092305421829,1.2349128723144531,1.233380675315857,-0.09743572771549225,2.7607030868530273
27067,68,2.7795183658599854,0.054402731359004974,1.2292726039886475,1.2288267612457275,-0.027364160865545273,2.7887258529663086
27068,68,2.7870800495147705,0.06671784818172455,1.2255277633666992,1.2249064445495605,0.028808578848838806,2.8095216751098633
27069,98,2.8037705421447754,0.07761118561029434,1.2208884954452515,1.220348596572876,0.08242563903331757,2.8341405391693115
27070,98,2.825032949447632,0.08400298655033112,1.2156184911727905,1.215753436088562,0.1277603656053543,2.862834930419922
27071,98,2.8438520431518555,0.08422856032848358,1.2108319997787476,1.2105108499526978,0.15923647582530975,2.8830580711364746
27072,98,2.8599679470062256,0.07923057675361633,1.205735683441162,1.2057557106018066,0.18320541083812714,2.8944203853607178
27073,98,2.866797924041748,0.07686305791139603,1.2011306285858154,1.2017697095870972,0.2041671872138977,2.8954877853393555
27074,98,2.873615264892578,0.07388997077941895,1.1984480619430542,1.1989712715148926,0.22356027364730835,2.9004573822021484
27075,84,2.5656557083129883,0.02681521326303482,1.2214560508728027,1.2213292121887207,-0.07714520394802094,2.5499727725982666
27076,84,2.578294515609741,0.03399258106946945,1.2179533243179321,1.2187343835830688,-0.03936377912759781,2.569657564163208
27077,84,2.57878041267395,0.03761968016624451,1.215514898300171,1.2161437273025513,-0.012536811642348766,2.5738625526428223
27078,84,2.569484233856201,0.04125552251935005,1.214871883392334,1.2137436866760254,0.005234935786575079,2.568258285522461
27079,84,2.5680418014526367,0.04363177344202995,1.2110463380813599,1.2103736400604248,0.016535313799977303,2.5686113834381104
